table,group,method,rmse_2017,gap_2017,rmse_2018,gap_2018,runtime_2017_sec,runtime_2018_sec
Table1_Metrics_LOTO,Similarity Metric,Marginal Energy Distance,3.8051,13.57,3.9487,10.85,22249.2,20657.3
Table1_Metrics_LOTO,Similarity Metric,Weighted KS,3.3505,0,3.5622,0,21692.8,20133.4
Table1_Metrics_LOTO,Similarity Metric,Mean KS Distance,3.5061,4.64,3.7141,4.26,25043.7,20916.1
Table1_Metrics_LOTO,Similarity Metric,Sinkhorn Wasserstein Distance,3.355,0.14,3.5932,0.87,21996,20822.5
Table2_LOTO,"Transfer learning (multi-source ensemble, K=7)",thinnedSV,3.2479,0,3.4221,0,103247.7,96257.3
Table2_LOTO,"Transfer learning (multi-source ensemble, K=7)",ANN,3.2784,0.94,3.4626,1.18,13158.2,12354.3
Table2_LOTO,Geographic-neighbor transfer (K=7),XGBoost,3.5118,8.13,3.7493,9.56,55.8,52.4
Table2_LOTO,Geographic-neighbor transfer (K=7),Random Forest,3.5965,10.73,3.8382,12.16,899.2,843.6
Table2_LOTO,Geographic-neighbor transfer (K=7),SVR,3.6045,10.98,3.9264,14.74,23336.6,21789.5
Table2_LOTO,Pooled training (all turbines),XGBoost,3.8007,17.02,3.9974,16.81,1450.1,1423.1
Table2_LOTO,Pooled training (all turbines),GNN,4.0715,25.36,4.0714,18.97,49897.8,18149.8
Table2_LOTO,Pooled training (all turbines),twinGP,4.1229,26.94,4.4107,28.89,8278.4,7818
Table2_LOTO,Pooled training (all turbines),Binning,4.5663,40.59,4.6238,35.12,79.9,73.9
Table2_DFP,"Transfer learning (multi-source ensemble, K=7)",thinnedSV,3.5887,2.27,4.4608,1.21,9940.2,9889.8
Table2_DFP,"Transfer learning (multi-source ensemble, K=7)",ANN,3.5092,0,4.4074,0,2577.7,2577.7
Table2_DFP,Geographic-neighbor transfer (K=7),XGBoost,3.8103,8.58,4.9129,11.47,19.2,19.2
Table2_DFP,Geographic-neighbor transfer (K=7),Random Forest,3.8963,11.03,4.9649,12.65,98.1,98.7
Table2_DFP,Geographic-neighbor transfer (K=7),SVR,3.8315,9.18,5.0465,14.5,2388.2,2380.9
Table2_DFP,Pooled training (all turbines),XGBoost,3.5496,1.15,4.638,5.23,48.8,25.3
Table2_DFP,Pooled training (all turbines),GNN,6.1425,75.04,6.7657,53.51,4778,4776.8
Table2_DFP,Pooled training (all turbines),twinGP,3.8511,9.74,4.9074,11.35,873.8,868.5
Table2_DFP,Pooled training (all turbines),Binning,4.2797,21.96,5.0225,13.96,8.4,7.9
