method,target,year,rmse,runtime_sec
P_XGBoost(x),1,2018,3.782407327311363,23.62425708770752
P_XGBoost(x),2,2018,5.505437665652007,36.67940831184387
P_XGBoost(x),3,2018,3.99896642609961,38.68305826187134
P_XGBoost(x),4,2018,4.405985588409402,38.68836998939514
P_XGBoost(x),5,2018,3.4499913355887872,31.897286891937256
P_XGBoost(x),6,2018,2.9546010567688596,34.19556212425232
P_XGBoost(x),7,2018,4.26371493704904,43.84654378890991
P_XGBoost(x),8,2018,3.2947712259603628,36.80569076538086
P_XGBoost(x),9,2018,4.369784103238632,30.111566305160522
P_XGBoost(x),10,2018,3.382281740330547,38.50889563560486
P_XGBoost(x),11,2018,3.8271507267047826,31.727555513381958
P_XGBoost(x),12,2018,4.469910327576253,32.652440547943115
P_XGBoost(x),13,2018,3.674345152645802,32.20904016494751
P_XGBoost(x),14,2018,3.815492045304694,30.064778089523315
P_XGBoost(x),15,2018,2.633069417889187,32.27676296234131
P_XGBoost(x),16,2018,2.5397844289046203,29.943455457687378
P_XGBoost(x),17,2018,5.841119184914642,32.10463500022888
P_XGBoost(x),18,2018,2.0359890425484455,36.26715874671936
P_XGBoost(x),19,2018,3.1244980554306068,36.524287939071655
P_XGBoost(x),20,2018,2.6265102618896323,29.701189279556274
P_XGBoost(x),21,2018,2.282607534994616,30.595282554626465
P_XGBoost(x),22,2018,2.9641786712207647,30.82462191581726
P_XGBoost(x),23,2018,3.650423181020155,24.416801929473877
P_XGBoost(x),24,2018,3.0067412742151145,16.21994638442993
P_XGBoost(x),25,2018,2.983705446285039,19.8140606880188
P_XGBoost(x),26,2018,3.637191587527495,16.062734842300415
P_XGBoost(x),27,2018,3.065589748202412,18.030029296875
P_XGBoost(x),28,2018,3.173998948563675,16.265711545944214
P_XGBoost(x),29,2018,3.1081827072446586,19.161946058273315
P_XGBoost(x),30,2018,2.8508935064806025,16.128345489501953
P_XGBoost(x),31,2018,2.9889300252176407,16.862285375595093
P_XGBoost(x),32,2018,3.952667065200652,17.686861038208008
P_XGBoost(x),33,2018,4.065630393880456,19.101571321487427
P_XGBoost(x),34,2018,4.968376532989226,14.579426050186157
P_XGBoost(x),35,2018,3.773010568756046,20.184162139892578
P_XGBoost(x),36,2018,3.677481524029381,18.78877854347229
P_XGBoost(x),37,2018,3.6984509766388944,21.027626991271973
P_XGBoost(x),38,2018,4.8968984707595835,18.49571681022644
P_XGBoost(x),39,2018,4.8732724746687826,23.453201293945312
P_XGBoost(x),40,2018,5.0140649150403265,22.486968278884888
P_XGBoost(x),41,2018,4.646744273603399,22.728167295455933
P_XGBoost(x),42,2018,3.18901430666343,17.443922519683838
P_XGBoost(x),43,2018,4.123690911528224,19.697453260421753
P_XGBoost(x),44,2018,5.8784470226838526,18.437010526657104
P_XGBoost(x),45,2018,3.6671034612941114,22.294052124023438
P_XGBoost(x),46,2018,2.826473546674004,23.78165030479431
P_XGBoost(x),48,2018,4.980943129984438,23.79949140548706
P_XGBoost(x),49,2018,5.107987851301073,21.703476190567017
P_XGBoost(x),50,2018,3.399405504940427,20.268412113189697
P_XGBoost(x),52,2018,3.8323535406601623,22.842135906219482
P_XGBoost(x),54,2018,6.564409947450626,22.979329347610474
P_XGBoost(x),55,2018,3.2549923548007205,19.61074995994568
P_XGBoost(x),56,2018,3.366789435214927,21.17427921295166
P_XGBoost(x),57,2018,3.670215726677941,17.349448680877686
P_XGBoost(x),58,2018,6.916497414154172,17.91736388206482
P_XGBoost(x),59,2018,6.374340814079042,4.819493055343628
P_XGBoost(x),60,2018,4.656304896991794,4.981935739517212
P_XGBoost(x),62,2018,5.072691011551153,4.868649959564209
P_XGBoost(x),63,2018,3.821993211661954,5.006491184234619
P_XGBoost(x),64,2018,6.547406951858162,5.005602121353149
P_XGBoost(x),65,2018,5.543755649448269,4.903611898422241
P_XGBoost(x),66,2018,3.7668281257993974,4.749154806137085
